"","esv_id","kpcofgs","site_name","total_sample_number","total_percent_match","total_number_species"
"208","ESV_134159","Eukaryota, unk_phylum, Phaeophyceae, , , , ","Coprvp1",8,93.1,15
"209","ESV_134522","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",24,95.2,6
"210","ESV_139096","Eukaryota, Bacillariophyta, , , , , ","PIER",9,97.3,12
"211","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",41,99.4,22
"212","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",41,99.4,22
"213","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",19,99.4,22
"214","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",16,99.4,22
"215","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",25,99.4,22
"216","ESV_139755","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",12,99.4,22
"217","ESV_139757","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",9,99.7,16
"218","ESV_139783","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",9,99.4,16
"219","ESV_139970","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","PIER",13,99.1,14
"220","ESV_139976","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","PIER",15,99.1,12
"221","ESV_140095","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",9,89.9,3
"222","ESV_142430","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, , , ","Coprvp1",11,97.9,3
"223","ESV_142806","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NWP (NCOS West Pond)",15,98.8,12
"224","ESV_143144","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",31,96.7,9
"225","ESV_143177","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",9,99.4,6
"226","ESV_143287","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",9,93.1,6
"227","ESV_143287","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",24,93.1,6
"228","ESV_143287","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",14,93.1,6
"229","ESV_143287","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",12,93.1,6
"230","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",248,99.7,5
"231","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",272,99.7,5
"232","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",497,99.7,5
"233","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",193,99.7,5
"234","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",741,99.7,5
"235","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",143,99.7,5
"236","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",128,99.7,5
"237","ESV_143292","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",80,99.7,5
"238","ESV_143296","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",32,93.1,7
"239","ESV_143296","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",24,93.1,7
"240","ESV_143296","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",26,93.1,7
"241","ESV_143296","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",18,93.1,7
"242","ESV_143296","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",14,93.1,7
"243","ESV_164320","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",17,99.1,6
"244","ESV_164501","Bacteria, Cyanobacteria, , , , , ","CUL1",24,97.9,2
"245","ESV_164516","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NPB1",18,98.5,18
"246","ESV_165193","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",55,93.4,14
"247","ESV_165193","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",50,93.4,14
"248","ESV_165193","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",125,93.4,14
"249","ESV_165193","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",68,93.4,14
"250","ESV_165193","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",88,93.4,14
"251","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",174,93.7,14
"252","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",93,93.7,14
"253","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NDC",11,93.7,14
"254","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",49,93.7,14
"255","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",59,93.7,14
"256","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",83,93.7,14
"257","ESV_165194","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","PIER",35,93.7,14
"258","ESV_165195","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",16,99.7,6
"259","ESV_165195","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",13,99.7,6
"260","ESV_165195","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",44,99.7,6
"261","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",76,93.1,6
"262","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",65,93.1,6
"263","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",71,93.1,6
"264","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",29,93.1,6
"265","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",67,93.1,6
"266","ESV_165196","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",18,93.1,6
"267","ESV_165197","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",24,99.7,5
"268","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",57,93.4,6
"269","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",59,93.4,6
"270","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",61,93.4,6
"271","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB",20,93.4,6
"272","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",51,93.4,6
"273","ESV_165198","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",13,93.4,6
"274","ESV_165199","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",15,93.1,20
"275","ESV_165199","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",10,93.1,20
"276","ESV_165199","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",14,93.1,20
"277","ESV_165199","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NVBR",14,93.1,20
"278","ESV_165200","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",9,93.7,16
"279","ESV_165200","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",8,93.7,16
"280","ESV_165201","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NPB",8,93.4,16
"281","ESV_165202","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NPB1",409,99.7,1
"282","ESV_165203","Bacteria, Cyanobacteria, , , , , ","NPB1",56,92.2,2
"283","ESV_165203","Bacteria, Cyanobacteria, , , , , ","NVP4",48,92.2,2
"284","ESV_165204","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea","NPB1",49,93.4,1
"285","ESV_165205","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",46,97.3,4
"286","ESV_165206","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",27,93.4,6
"287","ESV_165207","Bacteria, Cyanobacteria, , , , , ","NPB1",25,92.2,17
"288","ESV_165208","Eukaryota, Bacillariophyta, Bacillariophyceae, Bacillariales, Bacillariaceae, , ","NPB1",24,98.5,23
"289","ESV_165209","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",18,94.9,6
"290","ESV_165210","Eukaryota, Chlorophyta, Trebouxiophyceae, Trebouxiales, Trebouxiaceae, Trebouxia, ","NPB1",17,98.8,8
"291","ESV_165211","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NPB1",16,99.4,10
"292","ESV_165212","Eukaryota, Bacillariophyta, Bacillariophyceae, , , , ","NPB1",14,98.8,10
"293","ESV_165213","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NPB1",13,92.8,1
"294","ESV_165214","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",12,99.1,4
"295","ESV_165215","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NPB1",12,99.4,1
"296","ESV_165216","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea","NPB1",11,99.7,1
"297","ESV_165217","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas obovoidea","NPB1",10,99.7,1
"298","ESV_165218","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, Tribonema affine","NPB1",9,97.9,1
"299","ESV_165219","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NPB1",9,97.6,4
"300","ESV_165220","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NPB1",9,94.9,5
"301","ESV_165221","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NEC",11,99.1,16
"302","ESV_165222","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NEC",11,94,14
"303","ESV_165223","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",10,92.8,6
"304","ESV_165223","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",14,92.8,6
"305","ESV_165223","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NEC",8,92.8,6
"306","ESV_165223","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",10,92.8,6
"307","ESV_165224","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",205,91.4,2
"308","ESV_165225","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",81,87.8,2
"309","ESV_165226","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",60,94,11
"310","ESV_165227","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",35,90.8,2
"311","ESV_165228","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",34,90.8,2
"312","ESV_165229","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",29,95.8,13
"313","ESV_165230","Eukaryota, unk_phylum, Xanthophyceae, Tribonematales, Tribonemataceae, Tribonema, ","NVP2",22,93.4,4
"314","ESV_165231","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",20,91.7,2
"315","ESV_165232","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",19,95.2,13
"316","ESV_165233","Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, , ","NVP2",17,91.9,21
"317","ESV_165234","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NVP2",16,93.1,1
"318","ESV_165235","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",14,88.7,2
"319","ESV_165236","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",12,94.9,11
"320","ESV_165237","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",11,90.8,3
"321","ESV_165238","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",11,88.1,2
"322","ESV_165239","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","NVP2",11,94,1
"323","ESV_165240","Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, , ","NVP2",9,91.6,21
"324","ESV_165241","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","NVP2",9,92.2,3
"325","ESV_165242","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NVP2",8,94,11
"326","ESV_165243","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","CUL1",115,87.4,1
"327","ESV_165243","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","MO1",48,87.4,1
"328","ESV_165244","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","CUL1",111,87.4,1
"329","ESV_165244","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","MO1",67,87.4,1
"330","ESV_165245","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","CUL1",77,86.8,1
"331","ESV_165245","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","MO1",32,86.8,1
"332","ESV_165246","Eukaryota, Bacillariophyta, , , , , ","CUL1",17,91.6,30
"333","ESV_165247","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","CUL1",16,87.1,1
"334","ESV_165248","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","CUL1",14,99.4,16
"335","ESV_165248","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","MO1",15,99.4,16
"336","ESV_165249","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","CUL1",12,99.1,6
"337","ESV_165249","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",9,99.1,6
"338","ESV_165250","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, Nostoc, Nostoc linckia","CUL1",10,87.1,1
"339","ESV_165251","Eukaryota, Bacillariophyta, , , , , ","CUL1",9,91.6,14
"340","ESV_165252","Eukaryota, Bacillariophyta, , , , , ","CUL1",9,92.2,28
"341","ESV_165253","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",328,98.2,1
"342","ESV_165254","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",80,89.9,3
"343","ESV_165255","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",24,86,3
"344","ESV_165256","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",23,91.6,1
"345","ESV_165257","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",21,94.6,1
"346","ESV_165258","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, Chlamydomonadaceae, , ","Coprvp1",21,97.6,2
"347","ESV_165259","Eukaryota, Chlorophyta, Mamiellophyceae, Monomastigales, Monomastigaceae, Monomastix, ","Coprvp1",19,89.6,3
"348","ESV_165260","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",17,97.9,1
"349","ESV_165261","Eukaryota, unk_phylum, Synurophyceae, Synurales, Mallomonadaceae, Mallomonas, ","Coprvp1",13,98.5,3
"350","ESV_165262","Eukaryota, unk_phylum, Cryptophyceae, Cryptomonadales, Cryptomonadaceae, Cryptomonas, Cryptomonas sp. CNUCRY 75","Coprvp1",13,98.8,1
"351","ESV_165263","Eukaryota, unk_phylum, Cryptophyceae, , , , ","Coprvp1",12,93.1,13
"352","ESV_165264","Eukaryota, Chlorophyta, Chlorophyceae, Chaetophorales, Chaetophoraceae, Coccobotrys, Coccobotrys verrucariae","Coprvp1",12,99.4,1
"353","ESV_165265","Eukaryota, unk_phylum, Cryptophyceae, , , , ","Coprvp1",11,93.1,17
"354","ESV_165266","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","Coprvp1",11,96.7,6
"355","ESV_165267","Eukaryota, , , , , , ","Coprvp1",10,85,6
"356","ESV_165268","Eukaryota, Chlorophyta, Trebouxiophyceae, Chlorellales, Chlorellaceae, , ","Coprvp1",9,96.4,21
"357","ESV_165269","Eukaryota, unk_phylum, Synurophyceae, Synurales, Mallomonadaceae, , ","Coprvp1",9,89.2,9
"358","ESV_165270","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",9,97,1
"359","ESV_165271","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",8,91.3,1
"360","ESV_165272","Eukaryota, unk_phylum, Eustigmatophyceae, Goniochloridales, unk_family, Trachydiscus, Trachydiscus minutus","Coprvp1",8,97.9,1
"361","ESV_165273","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, , ","NVP4",354,98.5,4
"362","ESV_165274","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, , ","NVP4",334,98.5,4
"363","ESV_165275","Bacteria, Cyanobacteria, unk_class, Nostocales, Nostocaceae, , ","NVP4",60,98.5,8
"364","ESV_165276","Bacteria, Cyanobacteria, , , , , ","NVP4",53,90.7,2
"365","ESV_165277","Bacteria, Cyanobacteria, unk_class, Nostocales, , , ","NVP4",48,94.3,28
"366","ESV_165278","Bacteria, Cyanobacteria, , , , , ","NVP4",46,90.7,2
"367","ESV_165279","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",36,97.9,14
"368","ESV_165280","Eukaryota, Chlorophyta, Chlorophyceae, Chlamydomonadales, , , ","NVP4",31,97.9,11
"369","ESV_165281","Eukaryota, Chlorophyta, Chlorophyceae, , , , ","NVP4",21,97.3,6
"370","ESV_165282","Eukaryota, Euglenozoa, Euglenida, Euglenales, unk_family, Colacium, ","NVP4",16,99.7,2
"371","ESV_165283","Bacteria, Cyanobacteria, , , , , ","NVP4",12,92.2,3
"372","ESV_165284","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",11,96.7,14
"373","ESV_165285","Bacteria, Cyanobacteria, , , , , ","NVP4",10,92.5,2
"374","ESV_165286","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",10,96.7,12
"375","ESV_165287","Bacteria, Cyanobacteria, unk_class, Nostocales, , , ","NVP4",10,94.3,12
"376","ESV_165288","Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece, Gloeothece verrucosa","NVP4",9,93.4,1
"377","ESV_165289","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",9,97.9,11
"378","ESV_165290","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, , , ","NVP4",8,98.5,10
"379","ESV_165291","Bacteria, Cyanobacteria, , , , , ","NVP4",8,89.6,17
"380","ESV_165292","Bacteria, Cyanobacteria, unk_class, Chroococcales, Aphanothecaceae, Gloeothece, ","NVP4",8,93.1,2
"381","ESV_165293","Bacteria, Cyanobacteria, , , , , ","NVP4",8,94.6,3
"382","ESV_165294","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","MO1",37,93.1,5
"383","ESV_165295","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Thalassiosirales, , , ","NWP (NCOS West Pond)",32,92.5,14
"384","ESV_165296","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",18,99.1,4
"385","ESV_165297","Eukaryota, , , , , , ","NWP (NCOS West Pond)",15,90.7,53
"386","ESV_165298","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",14,98.8,11
"387","ESV_165299","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",11,94.9,13
"388","ESV_165300","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NWP (NCOS West Pond)",11,94.3,6
"389","ESV_165301","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NWP (NCOS West Pond)",10,94,6
"390","ESV_165302","Eukaryota, Bacillariophyta, Bacillariophyceae, , , , ","NWP (NCOS West Pond)",9,97.9,34
"391","ESV_165303","Eukaryota, unk_phylum, Cryptophyceae, , , , ","NWP (NCOS West Pond)",8,96.1,13
"392","ESV_165304","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","NWP (NCOS West Pond)",8,98.8,8
"393","ESV_165305","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","PIER",191,97.9,3
"394","ESV_165306","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","PIER",44,97.9,3
"395","ESV_165307","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros, ","PIER",41,98.2,2
"396","ESV_165308","Eukaryota, Bacillariophyta, , , , , ","PIER",33,98.2,4
"397","ESV_165309","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros, Chaetoceros sp. 19 LG-2014","PIER",32,98.5,1
"398","ESV_165310","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NVBR",8,98.8,6
"399","ESV_165310","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","PIER",25,98.8,6
"400","ESV_165311","Eukaryota, Bacillariophyta, , , , , ","PIER",22,92.8,20
"401","ESV_165312","Eukaryota, Bacillariophyta, , , , , ","PIER",16,97.3,2
"402","ESV_165313","Eukaryota, Bacillariophyta, Coscinodiscophyceae, Chaetocerotales, Chaetocerotaceae, Chaetoceros, ","PIER",11,98.2,2
"403","ESV_165314","Eukaryota, Bacillariophyta, , , , , ","PIER",11,97.9,12
"404","ESV_165315","Eukaryota, Bacillariophyta, , , , , ","PIER",10,98.2,3
"405","ESV_165316","Eukaryota, Bacillariophyta, Coscinodiscophyceae, , , , ","PIER",10,97.6,3
"406","ESV_165317","Bacteria, Cyanobacteria, , , , , ","NDC",61,92.2,13
"407","ESV_165318","Eukaryota, Euglenozoa, Euglenida, Euglenales, Phacaceae, Lepocinclis, Lepocinclis spirogyroides","NDC",24,96.7,1
"408","ESV_165319","Eukaryota, Bacillariophyta, Bacillariophyceae, Naviculales, Sellaphoraceae, Sellaphora, ","NDC",23,98.8,8
"409","ESV_165320","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",22,99.4,6
"410","ESV_165321","Eukaryota, Euglenozoa, Euglenida, Euglenales, Phacaceae, Lepocinclis, Lepocinclis spirogyroides","NDC",12,96.4,1
"411","ESV_165322","Bacteria, Cyanobacteria, unk_class, Synechococcales, Synechococcaceae, Synechococcus, ","NDC",12,99.7,16
"412","ESV_165323","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",12,99.4,5
"413","ESV_165324","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",11,99.4,5
"414","ESV_165325","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",10,99.4,5
"415","ESV_165326","Bacteria, Cyanobacteria, unk_class, Chroococcales, Cyanobacteriaceae, Cyanobacterium, Cyanobacterium aponinum","NDC",8,86.3,1
"416","ESV_165327","Eukaryota, unk_phylum, Eustigmatophyceae, Eustigmatales, Monodopsidaceae, , ","NDC",8,99.4,5
"417","ESV_000067","Eukaryota, Chordata, Aves, Anseriformes, Anatidae, , ","NVP4",575,100,4
"418","ESV_000067","Eukaryota, Chordata, Aves, Anseriformes, Anatidae, , ","NWP (NCOS West Pond)",322,100,4
