"","esv_id","kpcofgs","sample_type","ucsb_id","total_sample_number","total_percent_match","total_number_species"
"189","ESV_024987","Eukaryota, Protalveolata, Syndiniales, Syndiniales, , , ","Semi palmated plover fresh dropping","",28,76,7
"190","ESV_024988","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",27,84.4,3
"191","ESV_024989","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, , ","Killdeer fresh dropping","",8,100,6
"192","ESV_024989","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, , ","Semi palmated plover fresh dropping","",26,100,6
"193","ESV_024990","Eukaryota, Parabasalia, Trichonymphea, Trichonymphea, Trichonymphea, Trichonympha, campanula","Semi palmated plover fresh dropping","",26,73.7,1
"194","ESV_024991","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Least Sandpiper fresh dropping","",11,100,5
"195","ESV_024991","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",26,100,5
"196","ESV_024992","Bacteria, Verrucomicrobiota, Verrucomicrobiae, , , , ","Least Sandpiper fresh dropping","",33,96.1,8
"197","ESV_024992","Bacteria, Verrucomicrobiota, Verrucomicrobiae, , , , ","Semi palmated plover fresh dropping","",25,96.1,8
"198","ESV_024993","Eukaryota, Ochrophyta, Chrysophyceae, unk_order, unk_family, Chlamydomyxa, ","Semi palmated plover fresh dropping","",25,90.1,1
"199","ESV_024994","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Haloferula, ","Semi palmated plover fresh dropping","",25,98.9,1
"200","ESV_024995","Eukaryota, Ochrophyta, Chrysophyceae, Synurales, Synurales, Mallomonas, insignis","Semi palmated plover fresh dropping","",24,74.1,1
"201","ESV_024996","Eukaryota, Heterolobosea, Tetramitia, Tetramitia, Tetramitia, Allovahlkampfia, ","Semi palmated plover fresh dropping","",24,71.3,2
"202","ESV_024997","Archaea, Halobacterota, Halobacteria, Halobacterales, , , ","Semi palmated plover fresh dropping","",24,100,4
"203","ESV_024998","Bacteria, Verrucomicrobiota, Verrucomicrobiae, , , , ","Semi palmated plover fresh dropping","",23,92.4,5
"204","ESV_024999","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",23,96.7,1
"205","ESV_025000","Eukaryota, Dinoflagellata, Dinophyceae, , , , ","Semi palmated plover fresh dropping","",23,95.2,4
"206","ESV_025001","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Least Sandpiper fresh dropping","",11,100,18
"207","ESV_025001","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",23,100,18
"208","ESV_025002","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Puniceicoccaceae, , ","Least Sandpiper fresh dropping","",15,96.1,4
"209","ESV_025002","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Puniceicoccaceae, , ","Semi palmated plover fresh dropping","",22,96.1,4
"210","ESV_025003","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Campylobacteraceae, Campylobacter, ","Semi palmated plover fresh dropping","",22,100,6
"211","ESV_025004","Bacteria, Desulfobacterota, , , , , ","Least Sandpiper fresh dropping","",37,96.1,5
"212","ESV_025004","Bacteria, Desulfobacterota, , , , , ","Semi palmated plover fresh dropping","",22,96.1,5
"213","ESV_025005","Bacteria, Verrucomicrobiota, Kiritimatiellae, WCHB1-41, WCHB1-41, WCHB1-41, ","Semi palmated plover fresh dropping","",22,96.2,2
"214","ESV_025006","Bacteria, Proteobacteria, , , , , ","Least Sandpiper fresh dropping","",8,99,4
"215","ESV_025006","Bacteria, Proteobacteria, , , , , ","Semi palmated plover fresh dropping","",21,99,4
"216","ESV_025007","Eukaryota, Rotifera, Monogononta, Ploimida, Ploimida, Ploimida, ","Semi palmated plover fresh dropping","",21,96.9,1
"217","ESV_025008","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Semi palmated plover fresh dropping","",21,89.9,3
"218","ESV_025009","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",21,98.1,6
"219","ESV_025010","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, , ","Semi palmated plover fresh dropping","",20,83.5,5
"220","ESV_025011",", , , , , , ","Semi palmated plover fresh dropping","",20,NA,NA
"221","ESV_025012","Bacteria, , , , , , ","Least Sandpiper fresh dropping","",33,99,2
"222","ESV_025012","Bacteria, , , , , , ","Semi palmated plover fresh dropping","",20,99,2
"223","ESV_025013","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, , , ","Semi palmated plover fresh dropping","",20,96.1,13
"224","ESV_025014","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, , ","Semi palmated plover fresh dropping","",20,96.6,2
"225","ESV_025015","Bacteria, Desulfobacterota, , , , , ","Semi palmated plover fresh dropping","",20,96.1,10
"226","ESV_025016","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseovarius, tolerans","Semi palmated plover fresh dropping","",19,100,1
"227","ESV_025017","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Semi palmated plover fresh dropping","",19,93.6,11
"228","ESV_025018","Eukaryota, Peronosporomycetes, Peronosporomycetes, Peronosporomycetes, Peronosporomycetes, , ","Least Sandpiper fresh dropping","",54,100,1
"229","ESV_025018","Eukaryota, Peronosporomycetes, Peronosporomycetes, Peronosporomycetes, Peronosporomycetes, , ","Semi palmated plover fresh dropping","",19,100,1
"230","ESV_025019","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseovarius, pacificus","Least Sandpiper fresh dropping","",11,100,1
"231","ESV_025019","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Roseovarius, pacificus","Semi palmated plover fresh dropping","",18,100,1
"232","ESV_025020","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",18,100,1
"233","ESV_025021","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",17,100,3
"234","ESV_025021","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",18,100,3
"235","ESV_025022","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",17,96.7,1
"236","ESV_025023","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",17,85.9,2
"237","ESV_025024","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",17,100,1
"238","ESV_025025","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",64,99,4
"239","ESV_025025","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",17,99,4
"240","ESV_025026","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Amphora, coffeiformis","Least Sandpiper fresh dropping","",203,98.4,1
"241","ESV_025026","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Amphora, coffeiformis","Semi palmated plover fresh dropping","",17,98.4,1
"242","ESV_025027","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Haloferula, ","Semi palmated plover fresh dropping","",17,97.7,2
"243","ESV_025028","Eukaryota, Aphelidea, Aphelidea, Aphelidea, Aphelidea, , ","Least Sandpiper fresh dropping","",14,89.7,1
"244","ESV_025028","Eukaryota, Aphelidea, Aphelidea, Aphelidea, Aphelidea, , ","Semi palmated plover fresh dropping","",16,89.7,1
"245","ESV_025029","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Haloterrigena, ","Semi palmated plover fresh dropping","",16,98.9,2
"246","ESV_025030",", , , , , , ","Semi palmated plover fresh dropping","",16,NA,NA
"247","ESV_025031","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, Rhodopirellula, lusitana","Semi palmated plover fresh dropping","",16,100,1
"248","ESV_025032","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, , , ","Killdeer fresh dropping","",23,98.4,5
"249","ESV_025032","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, , , ","Least Sandpiper fresh dropping","",9,98.4,5
"250","ESV_025032","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, , , ","Semi palmated plover fresh dropping","",16,98.4,5
"251","ESV_025033","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",16,98.1,1
"252","ESV_025034","Eukaryota, , , , , , ","Least Sandpiper fresh dropping","",42,73.7,3
"253","ESV_025034","Eukaryota, , , , , , ","Semi palmated plover fresh dropping","",16,73.7,3
"254","ESV_025035","Archaea, Nanoarchaeota, Nanoarchaeia, Woesearchaeales, SCGC_AAA011-D5, SCGC_AAA011-D5, ","Semi palmated plover fresh dropping","",15,90.5,1
"255","ESV_025036","Eukaryota, Dinoflagellata, Dinophyceae, Peridiniphycidae, Thoracosphaeraceae, Pfiesteria, ","Least Sandpiper fresh dropping","",27,100,2
"256","ESV_025036","Eukaryota, Dinoflagellata, Dinophyceae, Peridiniphycidae, Thoracosphaeraceae, Pfiesteria, ","Semi palmated plover fresh dropping","",15,100,2
"257","ESV_025037","Eukaryota, Cercozoa, , , , , ","Least Sandpiper fresh dropping","",13,93,1
"258","ESV_025037","Eukaryota, Cercozoa, , , , , ","Semi palmated plover fresh dropping","",15,93,1
"259","ESV_025038","Bacteria, Planctomycetota, OM190, OM190, OM190, OM190, ","Semi palmated plover fresh dropping","",15,99,1
"260","ESV_025039","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Haloferax, ","Semi palmated plover fresh dropping","",15,98.9,1
"261","ESV_025040","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",15,96.7,1
"262","ESV_025041","Eukaryota, Ochrophyta, Dictyochophyceae, Pedinellales, Pedinellales, Pedinellales, ","Least Sandpiper fresh dropping","",13,100,1
"263","ESV_025041","Eukaryota, Ochrophyta, Dictyochophyceae, Pedinellales, Pedinellales, Pedinellales, ","Semi palmated plover fresh dropping","",15,100,1
"264","ESV_025042","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",15,98.4,4
"265","ESV_025043","Eukaryota, Cryptomycota, LKM11, LKM11, LKM11, LKM11, ","Semi palmated plover fresh dropping","",15,89.1,1
"266","ESV_025044","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",15,98.1,34
"267","ESV_025045","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",14,84.4,2
"268","ESV_025046","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",14,84.4,2
"269","ESV_025047","Eukaryota, Ochrophyta, Eustigmatophyceae, Eustigmatales, Eustigmatales, Nannochloropsis, ","Semi palmated plover fresh dropping","",14,98.3,2
"270","ESV_025048","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",14,84.1,3
"271","ESV_025049","Bacteria, Planctomycetota, Planctomycetes, Planctomycetales, Rubinisphaeraceae, , ","Semi palmated plover fresh dropping","",14,100,1
"272","ESV_025050","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Least Sandpiper fresh dropping","",44,96.9,3
"273","ESV_025050","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Semi palmated plover fresh dropping","",13,96.9,3
"274","ESV_025051","Eukaryota, Prymnesiophyceae, Prymnesiophyceae, Isochrysidales, Isochrysidales, Isochrysis, galbana","Least Sandpiper fresh dropping","",8,100,1
"275","ESV_025051","Eukaryota, Prymnesiophyceae, Prymnesiophyceae, Isochrysidales, Isochrysidales, Isochrysis, galbana","Semi palmated plover fresh dropping","",13,100,1
"276","ESV_025052","Archaea, Halobacterota, Halobacteria, Halobacterales, Halomicrobiaceae, Halobonum, ","Semi palmated plover fresh dropping","",13,100,2
"277","ESV_025053","Bacteria, Planctomycetota, Planctomycetes, Planctomycetales, Rubinisphaeraceae, , ","Semi palmated plover fresh dropping","",13,100,4
"278","ESV_025054","Eukaryota, Aphelidea, Aphelidea, Aphelidea, Aphelidea, , ","Semi palmated plover fresh dropping","",13,88.9,1
"279","ESV_025055","Eukaryota, Amoebozoa, Discosea, Discosea, Discosea, Discosea, ","Least Sandpiper fresh dropping","",13,91.4,1
"280","ESV_025055","Eukaryota, Amoebozoa, Discosea, Discosea, Discosea, Discosea, ","Semi palmated plover fresh dropping","",13,91.4,1
"281","ESV_025056","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Cocconeis, ","Semi palmated plover fresh dropping","",13,80.2,2
"282","ESV_025057","Eukaryota, Aphelidea, Aphelidea, Aphelidea, Aphelidea, , ","Semi palmated plover fresh dropping","",13,88.1,2
"283","ESV_025058",", , , , , , ","Semi palmated plover fresh dropping","",12,NA,NA
"284","ESV_025059","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",12,99.1,15
"285","ESV_025060","Bacteria, Proteobacteria, , , , , ","Semi palmated plover fresh dropping","",12,99.1,3
"286","ESV_025061","Eukaryota, Amoebozoa, Tubulinea, Euamoebida, Euamoebida, , ","Least Sandpiper fresh dropping","",111,78.7,2
"287","ESV_025061","Eukaryota, Amoebozoa, Tubulinea, Euamoebida, Euamoebida, , ","Semi palmated plover fresh dropping","",12,78.7,2
"288","ESV_025062",", , , , , , ","Semi palmated plover fresh dropping","",12,NA,NA
"289","ESV_025063","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",12,96.7,1
"290","ESV_025064","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",12,98.1,30
"291","ESV_025065","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",12,84.4,2
"292","ESV_025066","Eukaryota, Protalveolata, Syndiniales, Syndiniales, , , ","Semi palmated plover fresh dropping","",12,83.1,2
"293","ESV_025067","Bacteria, Bdellovibrionota, Oligoflexia, Silvanigrellales, Silvanigrellaceae, Silvanigrella, ","Semi palmated plover fresh dropping","",12,90.3,2
"294","ESV_025068","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Marivita, ","Least Sandpiper fresh dropping","",9,100,2
"295","ESV_025068","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Marivita, ","Semi palmated plover fresh dropping","",12,100,2
"296","ESV_025069","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, Navicula, ","Semi palmated plover fresh dropping","",12,96.9,3
"297","ESV_025070","Eukaryota, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, Pavlovophyceae, , ","Semi palmated plover fresh dropping","",12,97.7,2
"298","ESV_025071","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halorubrum, ","Semi palmated plover fresh dropping","",12,100,4
"299","ESV_025072","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",12,98.4,4
"300","ESV_025073","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Least Sandpiper fresh dropping","",30,99.2,2
"301","ESV_025073","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Semi palmated plover fresh dropping","",11,99.2,2
"302","ESV_025074","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, , ","Semi palmated plover fresh dropping","",11,97.7,2
"303","ESV_025075","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",11,87.4,2
"304","ESV_025076","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",11,84.4,2
"305","ESV_025077","Eukaryota, Cryptomycota, LKM11, LKM11, LKM11, LKM11, ","Semi palmated plover fresh dropping","",11,97.6,2
"306","ESV_025078","Archaea, Halobacterota, Halobacteria, Halobacterales, Halomicrobiaceae, Halomarina, rubra","Semi palmated plover fresh dropping","",11,98.9,1
"307","ESV_025079","Eukaryota, Diatomea, Bacillariophyceae, Bacillariophyceae, Bacillariophyceae, , ","Semi palmated plover fresh dropping","",11,94.5,6
"308","ESV_025080","Eukaryota, Holozoa, Ichthyosporea, Rhinosporideacae, Rhinosporideacae, Rhinosporideacae, ","Semi palmated plover fresh dropping","",11,95.3,1
"309","ESV_025081","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Least Sandpiper fresh dropping","",21,89.2,4
"310","ESV_025081","Eukaryota, Ochrophyta, Chrysophyceae, , , , ","Semi palmated plover fresh dropping","",11,89.2,4
"311","ESV_025082","Eukaryota, Amoebozoa, Discosea, Dactylopodida, Dactylopodida, Korotnevella, jeppesenii","Semi palmated plover fresh dropping","",10,94.1,1
"312","ESV_025083","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",10,99.2,2
"313","ESV_025084","Bacteria, Planctomycetota, Planctomycetes, Isosphaerales, Isosphaeraceae, , ","Semi palmated plover fresh dropping","",10,97,3
"314","ESV_025085","Bacteria, Gemmatimonadota, , , , , ","Semi palmated plover fresh dropping","",10,95.2,4
"315","ESV_025086","Eukaryota, Chlorophyta, Chlorodendrophyceae, , , , ","Semi palmated plover fresh dropping","",10,98.4,4
"316","ESV_025087","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Tropicimonas, arenosa","Semi palmated plover fresh dropping","",10,99.1,1
"317","ESV_025088","Bacteria, Dependentiae, Babeliae, Babeliales, , , ","Semi palmated plover fresh dropping","",10,91.5,2
"318","ESV_025089","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",10,100,4
"319","ESV_025090","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Opitutales, Puniceicoccaceae, Verruc-01, ","Semi palmated plover fresh dropping","",10,96.1,2
"320","ESV_025091","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Caenispirillum, bisanense","Semi palmated plover fresh dropping","",10,100,1
"321","ESV_025092","Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, , ","Semi palmated plover fresh dropping","",10,100,3
"322","ESV_025093","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",10,85,3
"323","ESV_025094","Eukaryota, Ciliophora, Intramacronucleata, Spirotrichea, Choreotrichia, Choreotrichia, ","Semi palmated plover fresh dropping","",10,96.7,1
"324","ESV_025095","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halobellus, ","Semi palmated plover fresh dropping","",10,100,2
"325","ESV_025096","Bacteria, Acidobacteriota, Thermoanaerobaculia, Thermoanaerobaculales, Thermoanaerobaculaceae, Subgroup_23, ","Semi palmated plover fresh dropping","",9,99,5
"326","ESV_025097","Eukaryota, Amoebozoa, Tubulinea, Arcellinida, , , ","Semi palmated plover fresh dropping","",9,81.2,5
"327","ESV_025098","Eukaryota, Nucleariidae_and_Fonticula_group, Nucleariidae_and_Fonticula_group, Nucleariidae_and_Fonticula_group, Nucleariidae, Nuclearia, ","Semi palmated plover fresh dropping","",9,90,1
"328","ESV_025099","Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, , ","Semi palmated plover fresh dropping","",9,98.1,8
"329","ESV_025100","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Semi palmated plover fresh dropping","",9,99.2,1
"330","ESV_025101","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",9,99,1
"331","ESV_025102","Archaea, Halobacterota, Halobacteria, Halobacterales, , , ","Semi palmated plover fresh dropping","",9,100,4
"332","ESV_025103","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, , ","Semi palmated plover fresh dropping","",9,97.7,4
"333","ESV_025104","Eukaryota, Diatomea, , , , , ","Semi palmated plover fresh dropping","",9,96.9,15
"334","ESV_025105","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halorubrum, ","Semi palmated plover fresh dropping","",9,100,3
"335","ESV_025106","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Semi palmated plover fresh dropping","",9,96.1,11
"336","ESV_025107","Bacteria, Gemmatimonadota, BD2-11_terrestrial_group, BD2-11_terrestrial_group, BD2-11_terrestrial_group, BD2-11_terrestrial_group, ","Semi palmated plover fresh dropping","",9,97.1,15
"337","ESV_025108","Bacteria, Gemmatimonadota, , , , , ","Semi palmated plover fresh dropping","",9,98.1,20
"338","ESV_025109","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",9,82,2
"339","ESV_025110","Eukaryota, Cercozoa, Glissomonadida, Glissomonadida, Glissomonadida, Heteromita, ","Semi palmated plover fresh dropping","",8,85.4,2
"340","ESV_025111","Eukaryota, , , , , , ","Semi palmated plover fresh dropping","",8,89,2
"341","ESV_025112","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Halorubrum, gandharaense","Semi palmated plover fresh dropping","",8,97.7,1
"342","ESV_025113","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",8,98.1,10
"343","ESV_025114","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, , ","Semi palmated plover fresh dropping","",8,98.1,9
"344","ESV_025115","Bacteria, Verrucomicrobiota, Verrucomicrobiae, Verrucomicrobiales, Rubritaleaceae, Luteolibacter, ","Semi palmated plover fresh dropping","",8,96.2,6
"345","ESV_025116","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",8,84.9,5
"346","ESV_025117","Archaea, Halobacterota, Halobacteria, Halobacterales, Haloferacaceae, Haloferax, ","Semi palmated plover fresh dropping","",8,100,1
"347","ESV_025118","Eukaryota, Apicomplexa, Conoidasida, Coccidia, Eimeriorina, Eimeria, ","Semi palmated plover fresh dropping","",8,84.9,4
"348","ESV_025119","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",11169,96.9,4
"349","ESV_025120","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Helicobacteraceae, Helicobacter, ","Killdeer fresh dropping","",8352,100,4
"350","ESV_025121","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Arthromitus, ","Killdeer fresh dropping","",668,100,1
"351","ESV_025122","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",631,100,1
"352","ESV_025123","Eukaryota, Ciliophora, Intramacronucleata, Conthreep, Phyllopharyngea, Cyrtophoria, ","Killdeer fresh dropping","",406,78.2,1
"353","ESV_025124","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",397,99.2,5
"354","ESV_025125","Eukaryota, Apicomplexa, Conoidasida, Cryptosporida, Cryptosporida, Cryptosporidium, ","Killdeer fresh dropping","",350,84.3,2
"355","ESV_025126","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",312,96.1,4
"356","ESV_025127","Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina, ","Killdeer fresh dropping","",272,100,4
"357","ESV_025128","Bacteria, Campilobacterota, Campylobacteria, Campylobacterales, Helicobacteraceae, Helicobacter, ","Killdeer fresh dropping","",267,99,4
"358","ESV_025129","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",218,95.3,4
"359","ESV_025130","Eukaryota, Ascomycota, Eurotiomycetes, Eurotiales, Aspergillaceae, , ","Killdeer fresh dropping","",194,96.1,24
"360","ESV_025131","Eukaryota, Platyhelminthes, Trematoda, Plagiorchiida, Plagiorchiida, Plagiorchiida, ","Killdeer fresh dropping","",154,99.2,1
"361","ESV_025132",", , , , , , ","Killdeer fresh dropping","",143,NA,NA
"362","ESV_025133","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",136,98.4,5
"363","ESV_025134","Eukaryota, Basidiomycota, Agaricomycetes, , , , ","Killdeer fresh dropping","",112,98.4,7
"364","ESV_025135","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, , ","Killdeer fresh dropping","",102,100,15
"365","ESV_025135","Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, , ","Least Sandpiper fresh dropping","",10,100,15
"366","ESV_025136","Eukaryota, Chlorophyta, Chlorophyceae, Chlorophyceae, Chlorophyceae, Chlorophyceae, ","Killdeer fresh dropping","",99,99.2,5
"367","ESV_025137","Eukaryota, Arthropoda, Malacostraca, Peracarida, Peracarida, Peracarida, ","Killdeer fresh dropping","",69,90.1,1
"368","ESV_025138",", , , , , , ","Killdeer fresh dropping","",55,NA,NA
"369","ESV_025139","Bacteria, , , , , , ","Killdeer fresh dropping","",53,97.1,2
"370","ESV_025140","Eukaryota, Apicomplexa, Conoidasida, Eugregarinorida, Cephaloidophoridae, Cephaloidophora, ","Killdeer fresh dropping","",49,95.1,1
"371","ESV_025141","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Killdeer fresh dropping","",49,98.1,9
"372","ESV_025141","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Least Sandpiper fresh dropping","",10,98.1,9
"373","ESV_025142","Bacteria, Proteobacteria, Gammaproteobacteria, , , , ","Killdeer fresh dropping","",49,100,14
"374","ESV_025143","Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Arthromitus, ","Killdeer fresh dropping","",48,99,4
